,model_name,cost
0,Babelscape/wikineural-multilingual-ner,0.148
1,brandon25/deberta-base-finetuned-ner,0.267
2,Davlan/bert-base-multilingual-cased-ner-hrl,0.149
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,0.082
4,Davlan/xlm-roberta-base-ner-hrl,0.141
5,flair/ner-english,0.034
6,flair/ner-english-fast,0.017
7,flair/ner-multi-fast,0.017
8,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,0.079
9,huggingface-course/bert-finetuned-ner,0.139
10,Jean-Baptiste/camembert-ner-with-dates,0.144
11,kamalkraj/bert-base-cased-ner-conll2003,0.139
12,flair/pos-english,0.034
13,flair/upos-multi-fast,0.015
14,flair/upos-english-fast,0.017
15,flair/upos-multi,0.033
16,KoichiYasuoka/roberta-base-english-upos,0.147
17,TweebankNLP/bertweet-tb2_ewt-pos-tagging,0.146
18,Deborah/bertimbau-finetuned-pos-accelerate3,0.147
19,sepidmnorozy/parsbert-finetuned-pos,0.147
20,TweebankNLP/bertweet-tb2-pos-tagging,0.147
21,Deborah/bertimbau-finetuned-pos-accelerate,0.147
22,mrm8488/mobilebert-finetuned-pos,0.474
23,flair/pos-english-fast,0.017
24,cardiffnlp/twitter-roberta-base-sentiment,0.01
25,cardiffnlp/twitter-roberta-base-sentiment-latest,0.01
26,nlptown/bert-base-multilingual-uncased-sentiment,0.01
27,finiteautomata/bertweet-base-sentiment-analysis,0.011
28,avichr/heBERT_sentiment_analysis,0.01
29,sbcBI/sentiment_analysis_model,0.006
30,rohanrajpal/bert-base-codemixed-uncased-sentiment,0.01
31,juliensimon/reviews-sentiment-analysis,0.006
32,RANG012/SENATOR,0.006
33,bhadresh-savani/distilbert-base-uncased-sentiment-sst2,0.006
34,rabindralamsal/BERTsent,0.011
35,dhpollack/distilbert-dummy-sentiment,0.001
36,philschmid/distilbert-base-multilingual-cased-sentiment-2,0.006
37,fhamborg/roberta-targeted-sentiment-classification-newsarticles,0.011
38,Seethal/sentiment_analysis_generic_dataset,0.006
39,federicopascual/finetuning-sentiment-model-3000-samples,0.006
40,jkhan447/sentiment-model-sample-group-emotion,0.01
41,yosemite/autonlp-imdb-sentiment-analysis-english-470512388,0.021
42,l3cube-pune/MarathiSentiment,0.01
