,model_name,task,dataset,cost,LOC_f1,LOC_number,LOC_precision,LOC_recall,MISC_f1,MISC_number,MISC_precision,MISC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,DATE_f1,DATE_number,DATE_precision,DATE_recall,DRV_f1,DRV_number,DRV_precision,DRV_recall,EVT_f1,EVT_number,EVT_precision,EVT_recall,GPE_LOC_f1,GPE_LOC_number,GPE_LOC_precision,GPE_LOC_recall,PROD_f1,PROD_number,PROD_precision,PROD_recall
0,Babelscape/wikineural-multilingual-ner,ner,conll2003,0.14,0.536,1019.0,0.422,0.737,0.071,451.0,0.037,0.814,0.38,1269.0,0.455,0.325,0.666,1504.0,0.938,0.517,0.556,0.261,0.171,0.544,,,,,,,,,,,,,,,,,,,,
1,brandon25/deberta-base-finetuned-ner,ner,conll2003,0.26,0.251,1019.0,0.449,0.174,0.242,451.0,0.65,0.149,0.398,1269.0,0.505,0.328,0.657,1504.0,0.887,0.521,0.884,0.448,0.655,0.34,,,,,,,,,,,,,,,,,,,,
2,Davlan/bert-base-multilingual-cased-ner-hrl,ner,conll2003,0.14,0.61,1019.0,0.483,0.827,0.0,451.0,0.0,0.0,0.415,1269.0,0.591,0.319,0.762,1504.0,0.857,0.687,0.912,0.579,0.627,0.538,,,,,,,,,,,,,,,,,,,,
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,ner,conll2003,0.08,0.609,1019.0,0.497,0.786,0.0,451.0,0.0,0.0,0.434,1269.0,0.571,0.351,0.757,1504.0,0.857,0.678,0.912,0.579,0.633,0.534,,,,,,,,,,,,,,,,,,,,
4,dslim/bert-base-NER,ner,conll2003,0.14,0.693,1019.0,0.692,0.694,0.692,451.0,0.685,0.698,0.578,1269.0,0.575,0.582,0.835,1504.0,0.883,0.791,0.938,0.706,0.717,0.695,,,,,,,,,,,,,,,,,,,,
5,dslim/bert-base-NER-uncased,ner,conll2003,0.14,0.705,1019.0,0.682,0.729,0.679,451.0,0.752,0.619,0.43,1269.0,0.346,0.568,0.745,1504.0,0.855,0.66,0.905,0.612,0.582,0.645,,,,,,,,,,,,,,,,,,,,
6,flair/ner-english,ner,conll2003,0.03,0.899,1019.0,0.942,0.861,0.868,451.0,0.861,0.876,0.907,1269.0,0.869,0.949,0.98,1504.0,0.975,0.986,0.985,0.927,0.921,0.933,,,,,,,,,,,,,,,,,,,,
7,flair/ner-english-fast,ner,conll2003,0.02,0.905,1019.0,0.936,0.876,0.855,451.0,0.849,0.86,0.907,1269.0,0.875,0.942,0.983,1504.0,0.979,0.987,0.985,0.928,0.923,0.934,,,,,,,,,,,,,,,,,,,,
8,flair/ner-multi,ner,conll2003,0.03,0.928,1019.0,0.923,0.933,0.826,451.0,0.784,0.871,0.915,1269.0,0.904,0.927,0.981,1504.0,0.977,0.986,0.984,0.932,0.92,0.943,,,,,,,,,,,,,,,,,,,,
9,flair/ner-multi-fast,ner,conll2003,0.02,0.928,1019.0,0.916,0.941,0.841,451.0,0.815,0.869,0.914,1269.0,0.911,0.916,0.975,1504.0,0.97,0.979,0.984,0.931,0.922,0.94,,,,,,,,,,,,,,,,,,,,
10,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,ner,conll2003,0.08,0.626,1019.0,0.525,0.775,0.655,451.0,0.74,0.588,0.535,1269.0,0.544,0.526,0.788,1504.0,0.92,0.689,0.927,0.652,0.654,0.65,,,,,,,,,,,,,,,,,,,,
11,huggingface-course/bert-finetuned-ner,ner,conll2003,0.14,0.661,1019.0,0.639,0.684,0.658,451.0,0.738,0.594,0.521,1269.0,0.518,0.525,0.81,1504.0,0.897,0.739,0.933,0.667,0.689,0.646,,,,,,,,,,,,,,,,,,,,
12,Jean-Baptiste/camembert-ner-with-dates,ner,conll2003,0.14,0.472,1019.0,0.366,0.665,0.08,451.0,0.044,0.45,0.237,1269.0,0.209,0.275,0.507,1504.0,0.374,0.787,0.618,0.299,0.202,0.569,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,kamalkraj/bert-base-cased-ner-conll2003,ner,conll2003,0.14,0.691,1019.0,0.691,0.691,0.646,451.0,0.664,0.63,0.546,1269.0,0.505,0.594,0.79,1504.0,0.935,0.685,0.933,0.669,0.686,0.653,,,,,,,,,,,,,,,,,,,,
14,NbAiLab/nb-bert-base-ner,ner,conll2003,0.14,0.088,1019.0,0.37,0.05,0.0,451.0,0.0,0.0,0.404,1269.0,0.658,0.292,0.745,1504.0,0.819,0.684,0.88,0.395,0.468,0.342,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,philschmid/distilroberta-base-ner-conll2003,ner,conll2003,0.08,0.687,1019.0,0.621,0.768,0.671,451.0,0.682,0.661,0.53,1269.0,0.482,0.589,0.766,1504.0,0.906,0.664,0.929,0.658,0.65,0.666,,,,,,,,,,,,,,,,,,,,
16,elastic/distilbert-base-uncased-finetuned-conll03-english,ner,conll2003,0.081,0.705,1019.0,0.609,0.837,0.675,451.0,0.728,0.63,0.443,1269.0,0.367,0.56,0.692,1504.0,0.904,0.561,0.907,0.605,0.577,0.634,,,,,,,,,,,,,,,,,,,,,,,,
