,model_name,task,dataset,cost,ADJ_f1,ADJ_number,ADJ_precision,ADJ_recall,ADP_f1,ADP_number,ADP_precision,ADP_recall,ADV_f1,ADV_number,ADV_precision,ADV_recall,AUX_f1,AUX_number,AUX_precision,AUX_recall,CCONJ_f1,CCONJ_number,CCONJ_precision,CCONJ_recall,DET_f1,DET_number,DET_precision,DET_recall,INTJ_f1,INTJ_number,INTJ_precision,INTJ_recall,NOUN_f1,NOUN_number,NOUN_precision,NOUN_recall,NUM_f1,NUM_number,NUM_precision,NUM_recall,PART_f1,PART_number,PART_precision,PART_recall,PRON_f1,PRON_number,PRON_precision,PRON_recall,PROPN_f1,PROPN_number,PROPN_precision,PROPN_recall,PUNCT_f1,PUNCT_number,PUNCT_precision,PUNCT_recall,SCONJ_f1,SCONJ_number,SCONJ_precision,SCONJ_recall,SYM_f1,SYM_number,SYM_precision,SYM_recall,VERB_f1,VERB_number,VERB_precision,VERB_recall,X_f1,X_number,X_precision,X_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,HYPH_f1,HYPH_number,HYPH_precision,HYPH_recall,NFP_f1,NFP_number,NFP_precision,NFP_recall,XX_f1,XX_number,XX_precision,XX_recall,AUX+PART_f1,AUX+PART_number,AUX+PART_precision,AUX+PART_recall,NOUN+NOUN_f1,NOUN+NOUN_number,NOUN+NOUN_precision,NOUN+NOUN_recall,PRON+AUX_f1,PRON+AUX_number,PRON+AUX_precision,PRON+AUX_recall,VERB+PART_f1,VERB+PART_number,VERB+PART_precision,VERB+PART_recall,CC_f1,CC_number,CC_precision,CC_recall,CD_f1,CD_number,CD_precision,CD_recall,DT_f1,DT_number,DT_precision,DT_recall,FW_f1,FW_number,FW_precision,FW_recall,IN_f1,IN_number,IN_precision,IN_recall,JJR_f1,JJR_number,JJR_precision,JJR_recall,JJ_f1,JJ_number,JJ_precision,JJ_recall,MD_f1,MD_number,MD_precision,MD_recall,NNPS_f1,NNPS_number,NNPS_precision,NNPS_recall,NNP_f1,NNP_number,NNP_precision,NNP_recall,NNS_f1,NNS_number,NNS_precision,NNS_recall,NN_f1,NN_number,NN_precision,NN_recall,POS_f1,POS_number,POS_precision,POS_recall,PRP_f1,PRP_number,PRP_precision,PRP_recall,RB_f1,RB_number,RB_precision,RB_recall,TO_f1,TO_number,TO_precision,TO_recall,VBD_f1,VBD_number,VBD_precision,VBD_recall,VBG_f1,VBG_number,VBG_precision,VBG_recall,VBN_f1,VBN_number,VBN_precision,VBN_recall,VBP_f1,VBP_number,VBP_precision,VBP_recall,VBZ_f1,VBZ_number,VBZ_precision,VBZ_recall,VB_f1,VB_number,VB_precision,VB_recall,WDT_f1,WDT_number,WDT_precision,WDT_recall,WP_f1,WP_number,WP_precision,WP_recall,WRB_f1,WRB_number,WRB_precision,WRB_recall
0,flair/upos-multi-fast,pos,conll2003,0.01,0.714,1477.0,0.734,0.695,0.852,2384.0,0.841,0.864,0.734,578.0,0.779,0.694,0.0,0.0,0.0,0.0,0.989,446.0,0.978,1.0,0.909,1851.0,0.988,0.842,0.4,3.0,0.5,0.333,0.856,3992.0,0.812,0.904,0.971,2616.0,0.963,0.979,0.728,672.0,0.836,0.644,0.75,448.0,0.607,0.98,0.869,4658.0,0.918,0.824,0.994,3046.0,0.987,1.0,0.0,0.0,0.0,0.0,0.564,132.0,0.814,0.432,0.741,2976.0,0.893,0.633,0.125,19.0,0.154,0.105,0.844,0.844,0.844,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,flair/upos-english-fast,pos,conll2003,0.01,0.817,1477.0,0.854,0.782,0.929,2384.0,0.888,0.974,0.848,578.0,0.843,0.853,0.0,0.0,0.0,0.0,0.994,446.0,0.991,0.998,0.917,1851.0,0.992,0.853,0.5,3.0,1.0,0.333,0.893,3992.0,0.866,0.922,0.973,2616.0,0.96,0.987,0.776,672.0,0.991,0.638,0.77,448.0,0.633,0.982,0.901,4658.0,0.916,0.886,0.991,3046.0,0.99,0.991,,,,,0.675,132.0,0.739,0.621,0.914,2976.0,0.949,0.881,0.0,19.0,0.0,0.0,0.908,0.908,0.908,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,flair/upos-multi,pos,conll2003,0.02,0.763,1477.0,0.797,0.731,0.855,2384.0,0.853,0.857,0.746,578.0,0.771,0.723,0.0,0.0,0.0,0.0,0.987,446.0,0.974,1.0,0.913,1851.0,0.992,0.845,0.5,3.0,1.0,0.333,0.885,3992.0,0.857,0.915,0.969,2616.0,0.961,0.977,0.732,672.0,0.838,0.649,0.754,448.0,0.612,0.98,0.897,4658.0,0.924,0.871,0.993,3046.0,0.988,0.998,0.0,0.0,0.0,0.0,0.518,132.0,0.63,0.439,0.761,2976.0,0.915,0.652,0.0,19.0,0.0,0.0,0.859,0.859,0.859,0.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flair/upos-english,pos,conll2003,0.03,0.824,1477.0,0.854,0.797,0.928,2384.0,0.885,0.974,0.842,578.0,0.83,0.855,0.0,0.0,0.0,0.0,0.996,446.0,0.991,1.0,0.918,1851.0,0.994,0.853,0.333,3.0,0.333,0.333,0.891,3992.0,0.863,0.922,0.974,2616.0,0.962,0.987,0.773,672.0,0.991,0.634,0.769,448.0,0.631,0.982,0.898,4658.0,0.918,0.879,0.994,3046.0,0.992,0.996,,,,,0.728,132.0,0.865,0.629,0.912,2976.0,0.946,0.881,0.125,19.0,0.103,0.158,0.908,0.908,0.908,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,flair/pos-english-fast,pos,conll2003,0.01,0.819,1477.0,0.851,0.789,0.933,2384.0,0.894,0.976,0.85,578.0,0.84,0.86,,,,,0.992,446.0,0.987,0.998,0.991,1851.0,0.994,0.988,1.0,3.0,1.0,1.0,0.891,3992.0,0.86,0.926,0.97,2616.0,0.953,0.987,0.809,672.0,0.987,0.686,0.989,448.0,0.995,0.982,0.902,4658.0,0.924,0.882,0.957,3046.0,0.998,0.92,,,,,0.574,132.0,0.557,0.591,0.941,2976.0,0.946,0.937,0.0,19.0,0.0,0.0,0.918,0.918,0.918,0.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flair/pos-english,pos,conll2003,0.03,0.82,1477.0,0.854,0.788,0.93,2384.0,0.89,0.974,0.848,578.0,0.833,0.863,,,,,0.99,446.0,0.98,1.0,0.991,1851.0,0.993,0.988,0.4,3.0,0.5,0.333,0.895,3992.0,0.874,0.916,0.97,2616.0,0.957,0.984,0.81,672.0,0.991,0.685,0.989,448.0,0.995,0.982,0.904,4658.0,0.914,0.894,0.951,3046.0,0.997,0.908,,,,,0.45,132.0,0.363,0.591,0.943,2976.0,0.95,0.937,0.093,19.0,0.083,0.105,0.917,0.917,0.917,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KoichiYasuoka/roberta-large-english-upos,pos,conll2003,0.18,0.65,1477.0,0.726,0.589,0.731,2384.0,0.773,0.693,0.495,578.0,0.391,0.673,0.0,0.0,0.0,0.0,0.996,446.0,0.993,0.998,0.741,1851.0,0.995,0.59,0.082,3.0,0.043,1.0,0.777,3992.0,0.676,0.912,0.77,2616.0,0.923,0.661,0.013,672.0,0.049,0.007,0.627,448.0,0.534,0.761,0.792,4658.0,0.852,0.74,0.989,3046.0,0.978,1.0,0.0,0.0,0.0,0.0,0.131,132.0,0.079,0.394,0.837,2976.0,0.938,0.757,0.0,19.0,0.0,0.0,0.75,0.75,0.75,0.75,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TweebankNLP/bertweet-tb2_ewt-pos-tagging,pos,conll2003,0.1,0.659,1477.0,0.692,0.629,0.201,2384.0,1.0,0.112,0.373,578.0,0.267,0.614,0.0,0.0,0.0,0.0,0.997,446.0,0.993,1.0,0.742,1851.0,0.997,0.59,0.003,3.0,0.001,0.333,0.755,3992.0,0.682,0.845,0.965,2616.0,0.952,0.978,0.34,672.0,0.595,0.238,0.563,448.0,0.466,0.712,0.793,4658.0,0.768,0.82,0.989,3046.0,0.981,0.997,0.0,0.0,0.0,0.0,0.135,132.0,0.081,0.402,0.757,2976.0,0.936,0.635,0.0,19.0,0.0,0.0,0.723,0.723,0.723,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,wietsedv/xlm-roberta-base-ft-udpos28-en,pos,conll2003,0.09,0.637,1477.0,0.707,0.58,0.913,2384.0,0.955,0.875,0.584,578.0,0.567,0.602,0.0,0.0,0.0,0.0,0.997,446.0,0.993,1.0,0.863,1851.0,0.994,0.763,0.036,3.0,0.018,1.0,0.782,3992.0,0.745,0.822,0.951,2616.0,0.919,0.986,0.759,672.0,0.829,0.699,0.581,448.0,0.415,0.967,0.798,4658.0,0.822,0.775,0.99,3046.0,0.981,1.0,0.0,0.0,0.0,0.0,0.533,132.0,0.825,0.394,0.67,2976.0,0.884,0.539,0.014,19.0,0.008,0.053,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Deborah/bertimbau-finetuned-pos-accelerate3,pos,conll2003,0.1,0.115,1477.0,0.674,0.063,0.0,2384.0,0.0,0.0,0.024,578.0,0.538,0.012,,,,,0.0,446.0,0.0,0.0,0.0,1851.0,0.0,0.0,0.0,3.0,0.0,0.0,0.551,3992.0,0.409,0.843,0.885,2616.0,0.86,0.912,0.0,672.0,0.0,0.0,0.0,448.0,0.0,0.0,0.794,4658.0,0.83,0.761,0.987,3046.0,0.973,1.0,,,,,0.0,132.0,0.0,0.0,0.02,2976.0,0.39,0.01,0.003,19.0,0.001,0.474,0.493,0.493,0.493,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
