,model_name,cost,PER,MISC,ORG,DATE,LOC,SCONJ,VERB+PART,NOUN+NOUN,PRON,INTJ,ADJ,PROPN,NOUN,PUNCT,XX,PUNCT+PUNCT,SYM,ADV,VERB,ADD,NUM,X,AFX,AUX+PART,PRON+AUX,ADP,AUX,PART,HYPH,DET,NFP,CCONJ,positive,negative,neutral
0,Babelscape/wikineural-multilingual-ner,0.148,0.688,0.078,0.268,,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brandon25/deberta-base-finetuned-ner,0.267,0.582,0.136,0.156,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Davlan/bert-base-multilingual-cased-ner-hrl,0.149,0.677,0.0,0.266,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,0.082,0.658,0.0,0.303,,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Davlan/xlm-roberta-base-ner-hrl,0.141,0.727,0.0,0.285,,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flair/ner-english,0.034,0.785,0.387,0.471,,0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flair/ner-english-fast,0.017,0.762,0.378,0.468,,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,flair/ner-multi-fast,0.017,0.862,0.499,0.629,,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,0.079,0.698,0.261,0.318,,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,huggingface-course/bert-finetuned-ner,0.139,0.732,0.286,0.287,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jean-Baptiste/camembert-ner-with-dates,0.144,0.342,0.099,0.18,0.0,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,kamalkraj/bert-base-cased-ner-conll2003,0.139,0.725,0.302,0.292,,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,flair/pos-english,0.034,,,,,,,,,0.827,0.662,0.872,0.879,0.872,0.525,0.0,,0.128,0.909,0.919,0.0,0.94,0.094,0.0,,,0.977,0.0,0.978,0.0,0.888,0.0,0.981,,,
13,flair/upos-multi-fast,0.015,,,,,,0.0,,,0.864,0.408,0.684,0.656,0.677,0.447,,,0.253,0.745,0.743,,0.884,0.191,,,,0.889,0.374,0.82,,0.932,,0.947,,,
14,flair/upos-english-fast,0.017,,,,,,,,,0.966,0.562,0.864,0.808,0.819,0.622,,,0.706,0.885,0.941,,0.925,0.41,,,,0.975,0.933,0.976,,0.987,,0.985,,,
15,flair/upos-multi,0.033,,,,,,0.0,,,0.87,0.528,0.788,0.672,0.712,0.469,,,0.215,0.799,0.793,,0.908,0.295,,,,0.892,0.376,0.836,,0.94,,0.937,,,
16,KoichiYasuoka/roberta-base-english-upos,0.147,,,,,,0.0,0.0,0.0,0.727,0.331,0.732,0.533,0.718,0.461,,0.0,0.06,0.544,0.819,,0.695,0.076,,0.0,0.0,0.639,0.821,0.669,,0.697,,0.981,,,
17,TweebankNLP/bertweet-tb2_ewt-pos-tagging,0.146,,,,,,0.0,,,0.803,0.179,0.709,0.66,0.678,0.537,,,0.248,0.534,0.72,,0.871,0.237,,,,0.243,0.567,0.01,,0.708,,0.985,,,
18,Deborah/bertimbau-finetuned-pos-accelerate3,0.147,,,,,,,,,0.006,0.133,0.125,0.535,0.493,0.485,,,0.017,0.028,0.025,,0.589,0.11,,,,0.001,0.0,0.0,,0.0,,0.01,,,
19,sepidmnorozy/parsbert-finetuned-pos,0.147,,,,,,,,,0.0,0.006,0.0,0.248,0.241,0.15,,,0.0,0.0,0.001,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,,
20,TweebankNLP/bertweet-tb2-pos-tagging,0.147,,,,,,0.0,,,0.819,0.194,0.706,0.661,0.732,0.559,,,0.271,0.679,0.695,,0.785,0.251,,,,0.814,0.384,0.68,,0.712,,0.943,,,
21,Deborah/bertimbau-finetuned-pos-accelerate,0.147,,,,,,0.0,,,0.104,0.002,0.041,0.0,0.001,0.033,,,0.0,0.052,0.041,,0.032,0.156,,,,0.015,0.0,0.0,,0.354,,0.001,,,
22,mrm8488/mobilebert-finetuned-pos,0.474,,,,,,,,,0.753,0.0,0.409,0.564,0.548,0.0,,,0.029,0.662,0.733,,0.792,0.003,,,,0.865,0.0,0.71,,0.586,,0.87,,,
23,flair/pos-english-fast,0.017,,,,,,,,,0.823,0.561,0.855,0.861,0.851,0.517,0.0,,0.098,0.888,0.906,0.0,0.93,0.109,0.0,,,0.974,0.0,0.966,0.0,0.888,0.0,0.976,,,
24,cardiffnlp/twitter-roberta-base-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722,0.739,0.721
25,cardiffnlp/twitter-roberta-base-sentiment-latest,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725,0.74,0.705
26,nlptown/bert-base-multilingual-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523,0.606,0.141
27,finiteautomata/bertweet-base-sentiment-analysis,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,0.735,0.694
28,avichr/heBERT_sentiment_analysis,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315,0.462,0.596
29,sbcBI/sentiment_analysis_model,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499,0.622,0.572
30,rohanrajpal/bert-base-codemixed-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,0.346,0.159
31,juliensimon/reviews-sentiment-analysis,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.527,0.237
32,RANG012/SENATOR,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.62,0.585
33,bhadresh-savani/distilbert-base-uncased-sentiment-sst2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508,0.555,0.0
34,rabindralamsal/BERTsent,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698,0.727,0.709
35,dhpollack/distilbert-dummy-sentiment,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.482,0.0
36,philschmid/distilbert-base-multilingual-cased-sentiment-2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,0.485,0.105
37,fhamborg/roberta-targeted-sentiment-classification-newsarticles,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.36,0.487
38,Seethal/sentiment_analysis_generic_dataset,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568,0.655,0.595
39,federicopascual/finetuning-sentiment-model-3000-samples,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.614,0.472
40,jkhan447/sentiment-model-sample-group-emotion,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365,0.165,0.078
41,yosemite/autonlp-imdb-sentiment-analysis-english-470512388,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377,0.496,0.0
42,l3cube-pune/MarathiSentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.509,0.675
