,model_name,cost,LOC,PER,MISC,DATE,ORG,AFX,NFP,ADV,ADP,PROPN,PRON+AUX,PART,ADD,VERB,PUNCT,DET,VERB+PART,X,AUX,SYM,SCONJ,HYPH,XX,PUNCT+PUNCT,CCONJ,ADJ,NUM,NOUN+NOUN,INTJ,PRON,AUX+PART,NOUN,negative,positive,neutral
0,Babelscape/wikineural-multilingual-ner,0.148,0.265,0.75,0.042,,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brandon25/deberta-base-finetuned-ner,0.267,0.229,0.652,0.152,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Davlan/bert-base-multilingual-cased-ner-hrl,0.149,0.273,0.638,0.0,,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,0.082,0.289,0.655,0.0,,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Davlan/xlm-roberta-base-ner-hrl,0.141,0.342,0.666,0.0,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flair/ner-english,0.034,0.721,0.745,0.327,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flair/ner-english-fast,0.017,0.621,0.718,0.386,,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,flair/ner-multi-fast,0.017,0.786,0.841,0.466,,0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,0.079,0.307,0.664,0.53,,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,huggingface-course/bert-finetuned-ner,0.139,0.335,0.693,0.428,,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jean-Baptiste/camembert-ner-with-dates,0.144,0.131,0.218,0.056,0.0,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,kamalkraj/bert-base-cased-ner-conll2003,0.139,0.365,0.718,0.434,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
