,model_name,cost,LOC,DATE,MISC,ORG,PER,NFP,NUM,HYPH,AFX,AUX,NOUN,XX,ADD,ADP,PUNCT+PUNCT,PART,INTJ,AUX+PART,ADJ,DET,PRON,PUNCT,PROPN,VERB+PART,SYM,VERB,X,NOUN+NOUN,CCONJ,ADV,PRON+AUX,SCONJ,neutral,negative,positive
0,Babelscape/wikineural-multilingual-ner,0.148,0.785,,0.635,0.237,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brandon25/deberta-base-finetuned-ner,0.267,0.237,,0.122,0.119,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Davlan/bert-base-multilingual-cased-ner-hrl,0.149,0.745,,0.0,0.246,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,0.082,0.735,,0.0,0.289,0.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Davlan/xlm-roberta-base-ner-hrl,0.141,0.718,,0.0,0.251,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flair/ner-english,0.034,0.682,,0.473,0.434,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flair/ner-english-fast,0.017,0.672,,0.371,0.444,0.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,flair/ner-multi-fast,0.017,0.712,,0.537,0.608,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,0.079,0.754,,0.173,0.364,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,huggingface-course/bert-finetuned-ner,0.139,0.674,,0.214,0.288,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jean-Baptiste/camembert-ner-with-dates,0.144,0.567,0.0,0.453,0.269,0.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,kamalkraj/bert-base-cased-ner-conll2003,0.139,0.683,,0.231,0.334,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,flair/pos-english,0.034,,,,,,0.0,0.942,0.0,0.0,0.0,0.889,0.0,0.0,0.973,,0.984,0.716,,0.892,0.991,0.724,0.611,0.908,,0.071,0.951,0.051,,0.988,0.914,,,,,
13,flair/upos-multi-fast,0.015,,,,,,,0.851,,,0.912,0.785,,,0.836,,0.941,0.276,,0.692,0.905,0.951,0.788,0.567,,0.18,0.66,0.123,,0.96,0.751,,0.0,,,
14,flair/upos-english-fast,0.017,,,,,,,0.912,,,0.895,0.895,,,0.973,,0.973,0.631,,0.856,0.984,0.954,0.852,0.738,,0.657,0.934,0.427,,0.985,0.864,,,,,
15,flair/upos-multi,0.033,,,,,,,0.885,,,0.961,0.815,,,0.841,,0.971,0.437,,0.799,0.914,0.971,0.759,0.565,,0.149,0.693,0.254,,0.985,0.779,,0.0,,,
16,KoichiYasuoka/roberta-base-english-upos,0.147,,,,,,,0.636,,,0.818,0.721,,,0.479,0.0,0.973,0.709,0.0,0.757,0.545,0.758,0.694,0.435,0.0,0.483,0.759,0.07,0.0,0.984,0.705,0.0,0.0,,,
17,TweebankNLP/bertweet-tb2_ewt-pos-tagging,0.146,,,,,,,0.882,,,0.618,0.745,,,0.138,,0.007,0.711,,0.693,0.553,0.904,0.618,0.64,,0.828,0.592,0.395,,0.979,0.625,,0.0,,,
18,Deborah/bertimbau-finetuned-pos-accelerate3,0.147,,,,,,,0.776,,,0.0,0.697,,,0.001,,0.0,0.11,,0.069,0.0,0.003,0.747,0.479,,0.009,0.013,0.719,,0.005,0.015,,,,,
