,model_name,type,url,entities,multilingual,dataset,data_url,framework
0,Babelscape/wikineural-multilingual-ner,token,https://huggingface.co/Babelscape/wikineural-multilingual-ner,"LOC, ORG, PER, MISC",T,,https://huggingface.co/datasets/Babelscape/wikineural,pytorch
1,brandon25/deberta-base-finetuned-ner,token,https://huggingface.co/brandon25/deberta-base-finetuned-ner,"LOC, ORG, PER, MISC",F,conll2003,,pytorch
2,Davlan/bert-base-multilingual-cased-ner-hrl,token,,"LOC, ORG, PER",,,,pytorch
3,Davlan/distilbert-base-multilingual-cased-ner-hrl,token,https://huggingface.co/Davlan/distilbert-base-multilingual-cased-ner-hrl,"LOC, ORG, PER",T,,,pytorch
4,Davlan/xlm-roberta-base-ner-hrl,token,https://huggingface.co/Davlan/xlm-roberta-base-ner-hrl,"LOC, ORG, PER",T,,,pytorch
5,Davlan/xlm-roberta-large-ner-hrl,token,https://huggingface.co/Davlan/xlm-roberta-large-ner-hrl,"LOC, ORG, PER",T,,,pytorch
6,dslim/bert-base-NER,token,,"LOC, ORG, PER, MISC",F,,,pytorch
7,dslim/bert-base-NER-uncased,token,,"LOC, ORG, PER, MISC",F,,,pytorch
8,dslim/bert-large-NER,token,,"LOC, ORG, PER, MISC",F,,,pytorch
9,flair/ner-english,flair,,"LOC, ORG, PER, MISC",,,,flair
10,flair/ner-english-fast,flair,,"LOC, ORG, PER, MISC",,,,flair
11,flair/ner-english-large,flair,,"LOC, ORG, PER, MISC",,,,flair
12,flair/ner-multi,flair,,"LOC, ORG, PER, MISC",,,,flair
13,flair/ner-multi-fast,flair,,"LOC, ORG, PER, MISC",,,,flair
14,gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,token,https://huggingface.co/gunghio/distilbert-base-multilingual-cased-finetuned-conll2003-ner,"LOC, ORG, PER, MISC",T,conll2003,,pytorch
15,huggingface-course/bert-finetuned-ner,token,https://huggingface.co/huggingface-course/bert-finetuned-ner,"LOC, ORG, PER, MISC",F,conll2003,,pytorch
16,Jean-Baptiste/camembert-ner-with-dates,token,https://huggingface.co/Jean-Baptiste/camembert-ner-with-dates,"LOC, ORG, PER",,,,pytorch
17,Jean-Baptiste/roberta-large-ner-english,token,https://huggingface.co/Jean-Baptiste/roberta-large-ner-english,"LOC, ORG, PER, MISC, O",,,,pytorch
18,jplu/tf-xlm-r-ner-40-lang,token,https://huggingface.co/jplu/tf-xlm-r-ner-40-lang,"LOC, ORG, PER, O",T,,,pytorch
19,kamalkraj/bert-base-cased-ner-conll2003,token,https://huggingface.co/kamalkraj/bert-base-cased-ner-conll2003,"LOC, ORG, PER, MISC",,conll2003,,pytorch
