,model_name,type,url,entities,multilingual,dataset,data_url,framework
1,flair/upos-multi-fast,flair,https://huggingface.co/flair/upos-multi-fast,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",T,upos,,pytorch
2,flair/upos-english-fast,flair,https://huggingface.co/flair/upos-english-fast,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
3,flair/upos-multi,flair,https://huggingface.co/flair/upos-multi,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",T,upos,,pytorch
4,KoichiYasuoka/roberta-large-english-upos,token,https://huggingface.co/KoichiYasuoka/roberta-large-english-upos,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
5,flair/upos-english,flair,https://huggingface.co/flair/upos-english,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
6,KoichiYasuoka/roberta-base-english-upos,token,https://huggingface.co/KoichiYasuoka/roberta-base-english-upos,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
7,TweebankNLP/bertweet-tb2_ewt-pos-tagging,token,https://huggingface.co/TweebankNLP/bertweet-tb2_ewt-pos-tagging,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
8,wietsedv/xlm-roberta-base-ft-udpos28-en,token,https://huggingface.co/wietsedv/xlm-roberta-base-ft-udpos28-en,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",T,upos,,pytorch
9,Sultannn/bert-base-ft-pos-xtreme,token,https://huggingface.co/Sultannn/bert-base-ft-pos-xtreme,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,tf,tf
10,Deborah/bertimbau-finetuned-pos-accelerate3,token,https://huggingface.co/Deborah/bertimbau-finetuned-pos-accelerate3,"ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X",F,upos,,pytorch
